economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
SAU,7.89890750977747,1.36945683303735,,509468527336.473,2.46594308994843,3.2269508901591,2018
SAU,3.64484004485363,0.346411455797861,,514962537825.302,-1.1929864453332,1.65158925617395,2019
SAU,-4.51692116727614,0.211115523412857,,472850970844.846,3.37234961012303,-3.80478901996312,2020
SAU,4.56976271965319,2.8850612174452,,473889603512.936,3.06328988941548,6.51959698325419,2021
SAU,11.7294510759776,2.1556449627378,,478231707665.7,2.47407371925372,12.0005874752929,2022
SAU,2.12936776093395,1.87131032249407,,457948635287.488,2.32708518362699,0.542592439393161,2023
TUR,-2.46735825450658,2.225752648523,46.7405303729401,110489628113.015,7.67085364845877,5.80557386628684,2015
TUR,-2.54553759448629,1.58873607703875,46.3614777541171,104810530764.478,7.7751341532833,3.32366508200445,2016
TUR,-4.06829916731119,1.29532700760314,52.6882928024745,107657025384.516,11.1443110840765,7.82585730002594,2017
TUR,-1.85233343060557,1.57923380202967,55.4453574540502,92997230040.5605,16.3324638988928,3.46815306092219,2018
TUR,1.9351600379275,1.22536076199392,55.3071524639806,105619672447.934,15.1768215720022,1.30162365464503,2019
TUR,-4.22230197946184,1.02531493703228,60.3150906136416,93584577917.0715,12.2789574462574,1.80306247087255,2020
TUR,-0.74064931592423,1.50891969619413,53.7425891882514,111184882382.134,19.5964926913324,11.811094450607,2021
TUR,-4.99763806227356,1.48839623728753,50.758322367613,128735003395.893,72.3088359891207,5.44122511322401,2022
TUR,-3.49417299638226,0.933806495534912,45.157151097837,140868480001.696,53.8594087593315,5.04512369812289,2023
USA,-2.2434721228246,2.80914762910409,,383728497570.133,0.118627135552451,2.94555045484053,2015
USA,-2.11937229657855,2.53749765919682,,405942428719.749,1.26158320570536,1.81945147788167,2016
USA,-1.88739358215214,1.95521086285051,,451285263406.24,2.13011000365961,2.45762229852507,2017
USA,-2.13796218132331,1.0457039920427,,449907088828.546,2.44258329692817,2.96650506901305,2018
USA,-2.06708055581828,1.47787452846554,,516700583371.247,1.81221007526021,2.58382533412825,2019
USA,-2.81809426941685,0.650821071352324,,628369715338.322,1.23358439630629,-2.16302914036166,2020
USA,-3.68274086718403,2.04998648308338,,716152260973.711,4.69785886363742,6.05505293244555,2021
USA,-3.87872626619871,1.62816817042838,,706644215998.894,8.00279982052121,2.51237531986017,2022
USA,-3.40030482379486,1.32618252590589,,773426187289.128,4.11633838374488,2.88755600749487,2023
VNM,-0.853052854546214,4.93190773329022,36.0276512949194,28250254960.181,0.631200905175754,6.98715430598611,2015
VNM,0.243099852637275,4.90089302916746,37.2434368821309,36527291044.3307,2.66824816969082,6.69000892660424,2016
VNM,-0.586095207209378,5.01148721749681,41.5701252327449,49075567812.4586,3.52025688811617,6.94019037359206,2017
VNM,1.90236367538642,4.99828319622328,38.2695640665703,55452622582.5609,3.53962805942641,7.46500685572751,2018
VNM,3.91824395534242,4.821074861051,38.5732191379908,78334835182.609,2.7958236745225,7.35926270105006,2019
VNM,4.34486906553373,4.55836196782424,39.0234679461042,94833616150.4504,3.22093436652514,2.86541320912272,2020
VNM,-1.26284279203588,4.27314566190187,40.2192163533687,109371353442.833,1.83471554810444,2.55372852648131,2021
VNM,0.339101746979362,4.32947308910883,37.2580281492659,86539530966.6451,3.15650749963129,8.53750046755788,2022
VNM,5.94503707253957,4.26407109843686,34.4790753177648,92237540812.2468,3.25289282667662,5.06502391455075,2023
ZAF,-4.31028688643788,0.438735792056356,37.711086621978,45887065756.7249,4.51869094892506,1.32186223678229,2015
ZAF,-2.63361451678798,0.684612553455795,45.6902115131597,47180127300.8565,6.60290842394872,0.664552307858116,2016
ZAF,-2.37436753188649,0.539673956759456,47.1927189929926,50722891363.2361,5.18618655524149,1.15794695181735,2017
ZAF,-3.00051939426577,1.3742911715346,45.7412901934993,51642041966.6735,4.50987264867388,1.55678384721676,2018
ZAF,-2.61999067483039,1.31407752293306,50.2481328155576,55055893656.867,4.10285075461156,0.25993557687633,2019
ZAF,2.00352275153333,0.933073684352391,52.7841323729174,55008491995.5568,3.23238831615113,-6.1689177146757,2020
ZAF,3.77241369345008,9.68098022663018,41.0418957615734,57597149617.2517,4.61874544887136,4.85864865060148,2021
ZAF,-0.29618259812743,2.26670277731613,43.0995184381018,60553113006.2543,7.03987272546482,2.05813661692193,2022
ZAF,-1.10356312207881,1.0127377916456,44.1610440626778,62491675820.3129,6.0752438457966,0.80610455095804,2023
